patientId,firstName,middleName,lastName,dateOfBirth,email,phone,address
653462378,Limor,,Gur,2000-02-26,limor.gur@checkpoints.com,053-6207974,Jerusalem
966040317,Guy,Bat,Klein,1965-11-27,guy.klein@hotmail.com,051-8640615,Rehovot
776205431,Yaron,,Ronen,1974-01-31,yaron.ronen@walla.co.il,056-5093379,Haifa
804436922,Meital,,Cohen,1939-06-14,meital.cohen@gmail.com,056-4671545,Haifa
963406382,Sivan,,Navon,1958-07-11,sivan.navon@gmail.com,051-8658158,Haifa
960514523,Stav,,Livne,1958-05-23,stav.livne@hotmail.com,055-8425149,Nahariya
975106572,Eden,,Arad,1959-05-20,eden.arad@walla.co.il,052-8963715,Ashdod
378304807,Coral,,Saban,1983-08-28,coral.saban@checkpoints.com,058-9130188,Jerusalem
394846763,Hadar,,Malka,1987-07-01,hadar.malka@gmail.com,055-6363836,Eilat
186519602,Ariel,,Levine,1946-04-11,ariel.levine@gmail.com,053-2077581,Rehovot
537656494,Anat,,Lavi,2002-12-12,anat.lavi@gmail.com,056-7534336,Nahariya
846812123,Yosef,,Olmert,1965-09-28,yosef.olmert@gmail.com,055-6009888,Rehovot
997356828,Dor,,Dotan,1959-07-16,dor.dotan@checkpoints.com,059-4700025,Ashdod
335602191,Tamar,,Spector,1973-08-24,tamar.spector@gmail.com,056-3768991,Ashdod
237039296,Eli,Yosef,Dotan,1955-06-07,eli.dotan@hotmail.com,050-2408404,Rehovot
245706210,Stav,Yosef,Zamir,1979-03-02,stav.zamir@gmail.com,057-6483562,Herzeliya
917364173,Neta,,Vaknin,1970-09-18,neta.vaknin@gmail.com,051-8890439,Tel Aviv - Yafo
904258674,Lior,,Avraham,1977-02-19,lior.avraham@gmail.com,051-1675419,Tel Aviv - Yafo
365518424,Guy,,Mizrachi,1987-02-18,guy.mizrachi@gmail.com,057-2919136,Nahariya
334037646,Stav,,Yarkoni,1975-06-10,stav.yarkoni@gmail.com,059-2921542,Haifa
433975497,Ori,Michael,Sela,1956-11-16,ori.sela@teva.com,056-7654757,Jerusalem
181600593,Kobi,,Tal,1986-09-30,kobi.tal@gmail.com,054-3030966,Nahariya
940348305,Yaakov,,Goldberg,1949-03-09,yaakov.goldberg@gmail.com,051-9488613,Herzeliya
113585139,Dor,Michael,Shaham,1951-07-07,dor.shaham@checkpoints.com,057-3566765,Rehovot
289125618,Agam,,Navon,1984-04-20,agam.navon@hotmail.com,058-9111742,Ashdod
567694547,Agam,,Peled,1986-07-05,agam.peled@checkpoints.com,051-5679639,Ashdod
361846370,Coral,,Heller,1948-08-02,coral.heller@walla.co.il,055-1481506,Ashdod
448981305,Amit,,Shaham,1936-12-15,amit.shaham@gmail.com,055-5691890,Nahariya
852890318,Maya,Bat,Shani,2000-11-07,maya.shani@gmail.com,056-9196976,Eilat
914073098,Sarah,,Tal,1944-09-02,sarah.tal@walla.co.il,057-1289293,Beer-Sheva
415933049,Ofek,,Green,1981-01-23,ofek.green@teva.com,059-7191135,Ashdod
694287057,Zohar,,Goldberg,1941-08-12,zohar.goldberg@hotmail.com,055-6902401,Ashdod
390894296,Avigail,,Turgeman,1943-10-28,avigail.turgeman@gmail.com,055-3005795,Eilat
918394863,Meital,,Zamir,1942-04-09,meital.zamir@walla.co.il,054-9801946,Nahariya
403867539,Noam,,Ronen,1976-02-27,noam.ronen@gmail.com,054-1237370,Eilat
235917419,Maya,,Dahan,1958-11-21,maya.dahan@gmail.com,052-9235577,Beer-Sheva
113169872,Yaron,,Asulin,1969-01-06,yaron.asulin@gmail.com,052-1861958,Petah-Tikva
612957813,David,,Agbaria,2001-11-20,david.agbaria@hotmail.com,050-3545556,Haifa
970957171,Ilan,Bat,Elbaz,1997-11-27,ilan.elbaz@hotmail.com,056-4786401,Eilat
508427798,Rotem,,Guttman,1955-09-26,rotem.guttman@walla.co.il,054-2010496,Nahariya
894664845,Noam,,Olmert,1989-08-08,noam.olmert@gmail.com,051-3634980,Jerusalem
286630878,Gadi,,Malka,1971-11-19,gadi.malka@walla.co.il,059-8883823,Petah-Tikva
135046782,Gil,,Asulin,1945-06-19,gil.asulin@checkpoints.com,057-2194198,Jerusalem
384063364,Tali,,Peled,1990-10-14,tali.peled@walla.co.il,051-4771676,Haifa
385220694,Omer,,Malka,1980-12-08,omer.malka@hotmail.com,059-5842082,Ashdod
233523720,Stav,,Tal,1972-06-03,stav.tal@gmail.com,058-9284509,Ashdod
186373782,Dudi,,Dahan,1942-08-20,dudi.dahan@gmail.com,059-5200476,Tel Aviv - Yafo
198061499,Gil,,Bareket,1956-12-05,gil.bareket@hotmail.com,050-5521644,Nahariya
143198431,May,,Sharon,1961-12-22,may.sharon@teva.com,057-5666692,Haifa
728492896,Mor,,Gur,2000-05-07,mor.gur@walla.co.il,055-7850944,Herzeliya
444733679,Osnat,,David,1978-12-11,osnat.david@walla.co.il,057-5835492,Rehovot
973559879,May,Ben,Tamir,1980-04-25,may.tamir@gmail.com,055-2944841,Rehovot
652543518,Avraham,,Tzur,1967-02-01,avraham.tzur@walla.co.il,050-4147112,Eilat
488457631,Eli,,Sharon,1968-11-16,eli.sharon@checkpoints.com,050-4415140,Petah-Tikva
689720101,Yosef,,Asulin,1945-11-21,yosef.asulin@walla.co.il,051-1484348,Nahariya
958256589,Sarah,,Eshkol,1959-02-12,sarah.eshkol@gmail.com,058-7844947,Beer-Sheva
341270488,David,,Heller,1950-06-04,david.heller@checkpoints.com,052-9361353,Petah-Tikva
646397165,Shir,,Gabay,1965-03-31,shir.gabay@walla.co.il,053-8663605,Eilat
255308128,Lihi,,Ronen,1962-12-08,lihi.ronen@teva.com,052-2171218,Petah-Tikva
929653607,Dor,,Schwartz,1962-12-25,dor.schwartz@gmail.com,050-5745250,Petah-Tikva
999232921,Kobi,,Sela,1964-08-09,kobi.sela@checkpoints.com,052-8491822,Eilat
620057604,Tal,,Weiss,1959-10-12,tal.weiss@walla.co.il,057-6398528,Jerusalem
848933239,Sarah,,Geva,1938-12-15,sarah.geva@walla.co.il,050-6338112,Ashdod
857232668,Neta,,Altman,1937-06-11,neta.altman@checkpoints.com,052-9310235,Tel Aviv - Yafo
235555899,Asaf,,Peled,1999-07-13,asaf.peled@checkpoints.com,057-2672884,Eilat
590622789,Moshe,,Begin,1949-10-16,moshe.begin@gmail.com,051-8876745,Petah-Tikva
463527356,Eli,,Tal,2001-04-30,eli.tal@checkpoints.com,055-9952696,Rehovot
440012324,Tali,,Ben-Gurion,1964-10-03,tali.ben-gurion@checkpoints.com,058-1602286,Nahariya
173466219,Sarah,,Yadin,1982-10-02,sarah.yadin@gmail.com,051-8280833,Beer-Sheva
916440738,Orly,,Eshkol,1968-09-23,orly.eshkol@gmail.com,054-1485654,Tel Aviv - Yafo
448294647,Shalom,,Marciano,1969-11-23,shalom.marciano@gmail.com,053-9911492,Rehovot
707660630,Dorit,,Zamir,2001-06-13,dorit.zamir@hotmail.com,056-5040453,Ashdod
726160204,Omer,, Dayan,1985-09-30,omer. dayan@walla.co.il,054-1157662,Ashdod
408842146,Iris,,Lavi,1968-11-26,iris.lavi@gmail.com,059-6018975,Rehovot
841218491,Rivka,,Blau,1990-08-30,rivka.blau@walla.co.il,057-2789344,Jerusalem
509486794,Yaron,,Silberman,1945-10-19,yaron.silberman@gmail.com,050-7640518,Petah-Tikva
108695125,Ilan,,Nir,2004-02-18,ilan.nir@hotmail.com,057-5801541,Jerusalem
751831074,Hila,,Ben-David,1952-10-30,hila.ben-david@gmail.com,052-2630140,Tel Aviv - Yafo
431714152,Hadar,,Biton,1942-10-31,hadar.biton@gmail.com,051-5951131,Herzeliya
902601465,Dor,,Golan,1937-12-21,dor.golan@hotmail.com,055-9906224,Eilat
392624015,Tomers,,Turgeman,1965-04-21,tomers.turgeman@checkpoints.com,054-6682698,Beer-Sheva
602866993,Shlomo,,Klein,1988-04-17,shlomo.klein@checkpoints.com,056-7136687,Beer-Sheva
948988297,Erez,,Levi,1997-06-12,erez.levi@walla.co.il,055-5398338,Nahariya
509123009,Orly,Bat,Deutsch,1966-03-27,orly.deutsch@gmail.com,059-6503032,Nahariya
337691219,Ronit,,Agbaria,1966-11-18,ronit.agbaria@teva.com,054-7850067,Beer-Sheva
250084428,Yaakov,,Biton,1964-05-03,yaakov.biton@gmail.com,051-4939290,Eilat
245668163,Lihi,,Blau,1941-11-11,lihi.blau@teva.com,058-8031780,Nahariya
897005281,Agam,,Levine,1949-10-11,agam.levine@gmail.com,057-7847048,Petah-Tikva
135128844,Meital,,Deutsch,1968-08-21,meital.deutsch@gmail.com,055-2666893,Herzeliya
684615760,Ronit,Michael,Silberman,1991-07-04,ronit.silberman@gmail.com,057-2538024,Jerusalem
789024924,Orly,,Gal,2003-12-30,orly.gal@checkpoints.com,055-5086407,Haifa
945011302,Ilan,,Liberman,1958-10-24,ilan.liberman@gmail.com,059-4623062,Jerusalem
452788129,Roni,,Klein,1955-01-24,roni.klein@gmail.com,054-3427461,Haifa
680051935,Rivka,,Golan,2006-03-22,rivka.golan@gmail.com,050-7010308,Jerusalem
732276010,Michal,,Mizrachi,2003-10-31,michal.mizrachi@gmail.com,056-9826250,Beer-Sheva
900651998,Chaim,,Frank,1976-01-20,chaim.frank@hotmail.com,059-2829622,Ashdod
640992677,Ofek,,Ben-Ari,1949-06-03,ofek.ben-ari@hotmail.com,054-8684678,Tel Aviv - Yafo
165310776,Ben,,Green,1998-11-06,ben.green@walla.co.il,057-2232969,Beer-Sheva
445864933,Roni,Michael,Klein,1952-07-10,roni.klein@teva.com,059-6455706,Rehovot
741444618,Zohar,,Marciano,1954-03-21,zohar.marciano@walla.co.il,051-2919549,Eilat
873995963,Niv,,Spector,1988-01-13,niv.spector@walla.co.il,055-8608449,Rehovot
546665485,Agam,,Yosef,1980-06-30,agam.yosef@teva.com,054-7279729,Haifa
837468465,Ron,Ben,Agbaria,2000-03-03,ron.agbaria@walla.co.il,051-7251976,Haifa
697398528,Shalom,,Peled,1958-02-21,shalom.peled@gmail.com,051-7892225,Herzeliya
814403943,Coral,,Lazar,1943-11-05,coral.lazar@gmail.com,054-6242022,Herzeliya
211240259,Yaron,,Arad,1949-08-13,yaron.arad@walla.co.il,053-2815603,Herzeliya
697285504,Dana,,Omer,1957-01-10,dana.omer@gmail.com,056-1440466,Nahariya
806340901,Meital,Michael,Gabay,1945-06-28,meital.gabay@checkpoints.com,054-6701311,Herzeliya
106556040,Amit,,Klein,1972-07-30,amit.klein@gmail.com,052-1514340,Beer-Sheva
901131404,Zohar,,Barkat,1967-11-01,zohar.barkat@gmail.com,052-7208460,Petah-Tikva
874807770,Michal,,Lapid,1955-01-16,michal.lapid@gmail.com,050-3610197,Haifa
910069356,Eli,,Avraham,1984-02-14,eli.avraham@walla.co.il,056-9148051,Nahariya
574641329,Dor,,Gabay,1962-07-27,dor.gabay@gmail.com,055-8212753,Beer-Sheva
404133583,Iris,,Bareket,1961-04-05,iris.bareket@teva.com,054-1761976,Jerusalem
524410834,Dudi,Michael,Friedman,1989-08-01,dudi.friedman@checkpoints.com,052-5286905,Petah-Tikva
452318696,Itai,,Cohen,1969-11-24,itai.cohen@gmail.com,052-7378822,Eilat
855561271,Gil,,Arad,1948-08-07,gil.arad@checkpoints.com,055-2209226,Rehovot
896760809,Yaakov,Ben,Spector,1980-06-12,yaakov.spector@hotmail.com,056-7785090,Rehovot
410864588,David,Michael,Green,1993-02-11,david.green@checkpoints.com,059-8719145,Herzeliya
194628740,Mor,,David,1955-09-14,mor.david@walla.co.il,058-2319479,Rehovot
433154770,Kim,,Schwartz,1938-08-20,kim.schwartz@gmail.com,051-9564488,Beer-Sheva
669732591,Eyal,,Ronen,1977-03-10,eyal.ronen@gmail.com,052-4963933,Beer-Sheva
257243284,Rivka,,Stern,1994-10-26,rivka.stern@checkpoints.com,051-3972018,Ashdod
598165815,Coral,,Ramon,1968-04-05,coral.ramon@teva.com,059-6422534,Herzeliya
262089272,Hadar,,Agbaria,1951-11-21,hadar.agbaria@gmail.com,054-1942411,Herzeliya
644748834,Shlomo,,Aharon,2005-02-27,shlomo.aharon@gmail.com,055-5816353,Beer-Sheva
792205349,Michael,,Ben-Ari,1974-01-15,michael.ben-ari@walla.co.il,059-1688246,Ashdod
969533218,Yaron,,Koren,1954-04-04,yaron.koren@walla.co.il,058-3531028,Tel Aviv - Yafo
583745511,Ori,,Schwartz,2000-12-19,ori.schwartz@hotmail.com,052-1656695,Jerusalem
859803019,Hadar,,Guttman,1953-10-28,hadar.guttman@gmail.com,055-7255418,Petah-Tikva
515985367,Bar,,Lapid,1954-11-23,bar.lapid@gmail.com,055-2105817,Herzeliya
201474984,Rami,,Bareket,1985-12-04,rami.bareket@teva.com,059-3522845,Herzeliya
187512088,Motti,Michael,Tzur,1980-09-13,motti.tzur@teva.com,056-3163449,Nahariya
861104727,Daniel,,Aharon,1950-10-21,daniel.aharon@checkpoints.com,055-3144023,Eilat
200344359,Ronit,,Livne,1976-01-27,ronit.livne@gmail.com,055-6181912,Haifa
329987621,Roni,,Netanyahu,1988-03-17,roni.netanyahu@gmail.com,052-2294615,Petah-Tikva
946237594,Noam,,Arad,1942-04-08,noam.arad@hotmail.com,050-6649968,Nahariya
240712839,Dudi,,Berger,1992-04-23,dudi.berger@checkpoints.com,059-3777286,Ashdod
146914391,Bar,,Feldman,1987-03-23,bar.feldman@walla.co.il,059-5780297,Ashdod
351258749,Shahar,,Eitan,1938-03-01,shahar.eitan@walla.co.il,053-7171347,Nahariya
573087862,Stav,,Netanyahu,1974-04-10,stav.netanyahu@hotmail.com,058-8023963,Haifa
977130288,Guy,Michael,Harel,2003-11-08,guy.harel@teva.com,057-7227905,Eilat
210154881,Sapir,,Navon,1982-12-17,sapir.navon@gmail.com,052-5576678,Ashdod
651208305,Omer,Bat,Spector,1968-01-23,omer.spector@gmail.com,050-7960815,Tel Aviv - Yafo
525689202,Asaf,,Deutsch,2001-03-18,asaf.deutsch@gmail.com,053-1472908,Herzeliya
256819248,Ariel,,Biton,1966-02-23,ariel.biton@teva.com,052-8870361,Ashdod
760725160,Avraham,Bat,Katz,1995-02-13,avraham.katz@hotmail.com,059-9854536,Rehovot
219385981,Roni,,Asulin,1997-08-08,roni.asulin@gmail.com,053-8043503,Nahariya
590822013,Chaim,,Omer,1963-09-10,chaim.omer@hotmail.com,058-1275739,Eilat
717452511,Sarah,Yosef,Ben-Gurion,2008-05-23,sarah.ben-gurion@hotmail.com,055-5035998,Nahariya
547286055,Amit,,Livne,1961-07-27,amit.livne@gmail.com,051-9825812,Eilat
644738967,Asaf,,Tamir,1966-05-10,asaf.tamir@gmail.com,056-7262974,Petah-Tikva
902425085,Yosef,,Silberman,1977-08-07,yosef.silberman@gmail.com,051-6578736,Haifa
147605080,Hila,,Lavi,1950-11-12,hila.lavi@gmail.com,057-9028420,Haifa
971339002,Ariel,,Agbaria,1967-06-22,ariel.agbaria@gmail.com,054-4382135,Tel Aviv - Yafo
949447049,Guy,,Dahan,1980-09-18,guy.dahan@hotmail.com,056-8942330,Petah-Tikva
139321248,Coral,,Porat,1976-07-04,coral.porat@checkpoints.com,050-6568772,Petah-Tikva
233654018,Dana,,Spector,1941-11-06,dana.spector@walla.co.il,056-6688090,Haifa
632794158,Meital,,Harari,1937-01-02,meital.harari@hotmail.com,054-2385991,Rehovot
184747224,Mor,,Harel,1992-05-05,mor.harel@hotmail.com,054-6389033,Beer-Sheva
185973340,Michal,,Tzur,1968-07-12,michal.tzur@hotmail.com,056-3795835,Ashdod
477470703,Rotem,,Dahan,1976-11-26,rotem.dahan@hotmail.com,056-5606274,Tel Aviv - Yafo
180574838,Osnat,,Gur,1962-07-03,osnat.gur@checkpoints.com,052-1522452,Haifa
752376434,Iris,Ben,Guttman,1987-05-12,iris.guttman@checkpoints.com,055-7075878,Rehovot
709074302,Yitzhak,,Harel,1968-03-02,yitzhak.harel@gmail.com,055-8448065,Beer-Sheva
716243819,Ariel,,Peles,1980-04-30,ariel.peles@teva.com,054-5187788,Beer-Sheva
127824235,Linoy,,Zamir,1973-10-25,linoy.zamir@hotmail.com,051-5391883,Petah-Tikva
855954847,Rotem,,Barkat,1982-11-30,rotem.barkat@teva.com,057-4358435,Beer-Sheva
245737277,Shlomo,,fuchs,1944-07-14,shlomo.fuchs@walla.co.il,051-6361793,Herzeliya
861863296,Chaim,,Tamir,1981-08-16,chaim.tamir@checkpoints.com,052-3920762,Herzeliya
646272321,Ofek,,Ohayon,1937-06-22,ofek.ohayon@gmail.com,053-9288312,Tel Aviv - Yafo
487509692,Gadi,,Geva,1959-01-16,gadi.geva@gmail.com,059-2446455,Beer-Sheva
432098383,Erez,,Ben-Gurion,1961-05-16,erez.ben-gurion@walla.co.il,056-2237331,Haifa
440405868,Ronit,,Malka,1947-07-09,ronit.malka@hotmail.com,055-3153097,Eilat
786973497,Kobi,,Zamir,1996-12-15,kobi.zamir@walla.co.il,058-1929673,Beer-Sheva
656307931,Adam,,Elbaz,1979-08-03,adam.elbaz@teva.com,053-6805303,Eilat
404994549,Daniel,,Turgeman,1959-02-12,daniel.turgeman@gmail.com,052-6080553,Nahariya
672817675,Michael,,Arad,1955-06-10,michael.arad@hotmail.com,052-3872269,Nahariya
873773537,Roni,,Schwartz,1957-12-20,roni.schwartz@gmail.com,050-2362693,Tel Aviv - Yafo
788755699,Noga,,Geva,1989-08-15,noga.geva@checkpoints.com,059-7989166,Nahariya
786111573,David,,Harari,1959-08-03,david.harari@gmail.com,054-9102469,Jerusalem
964027324,Dorit,,Green,2001-12-26,dorit.green@teva.com,050-3652149,Ashdod
546270451,Ben,,Heller,1954-02-08,ben.heller@gmail.com,055-6357240,Herzeliya
703068400,Ori,,Melamed,1997-07-17,ori.melamed@gmail.com,057-5159388,Haifa
203950725,Israel,,Marciano,1953-04-29,israel.marciano@walla.co.il,053-3679315,Herzeliya
720286733,Eden,,Melamed,1994-03-28,eden.melamed@walla.co.il,058-8831858,Ashdod
431292818,Nir,Yosef,Mizrachi,1963-03-10,nir.mizrachi@walla.co.il,053-4609524,Nahariya
478918222,Israel,,Avraham,1954-12-05,israel.avraham@checkpoints.com,057-5794062,Eilat
108780419,Ori,Michael,Spector,1943-04-08,ori.spector@gmail.com,056-7139410,Tel Aviv - Yafo
530121245,Israel,,Ramon,1976-01-04,israel.ramon@hotmail.com,054-2233658,Rehovot
641440255,Rotem,,Olmert,1952-08-14,rotem.olmert@teva.com,059-2993318,Haifa
203810954,Erez,,Deutsch,1978-02-10,erez.deutsch@hotmail.com,055-3420404,Jerusalem
746889670,Eyal,,Green,2004-06-20,eyal.green@gmail.com,052-6587495,Ashdod
657629251,Shani,,Levine,1962-04-14,shani.levine@gmail.com,055-6344047,Haifa
521931770,Avi,,Rabin,1955-04-08,avi.rabin@gmail.com,058-9551583,Eilat
625968839,Shir,,Ramon,2007-01-15,shir.ramon@gmail.com,055-2838859,Rehovot
726745401,Avigail,,Begin,1952-01-30,avigail.begin@gmail.com,059-8962302,Petah-Tikva
803935444,Roni,,Sela,1943-10-25,roni.sela@gmail.com,059-9060593,Haifa
662890182,Tali,,Begin,1974-06-04,tali.begin@gmail.com,053-1529665,Nahariya
852178601,David,Michael,Ronen,1970-12-18,david.ronen@gmail.com,056-4420734,Rehovot
638824588,Roni,,Ben-Ari,1942-07-09,roni.ben-ari@teva.com,050-3316639,Eilat
322631460,Rami,,Rubin,1965-08-13,rami.rubin@hotmail.com,056-6263895,Haifa
593559955,Shahar,,Schwartz,1947-11-25,shahar.schwartz@checkpoints.com,054-9123194,Jerusalem
364697908,Maya,,Shani,1981-10-31,maya.shani@checkpoints.com,054-4477544,Ashdod
440419907,Ben,,Goldberg,1937-03-05,ben.goldberg@teva.com,054-5828304,Beer-Sheva
523625992,Tal,,Netanyahu,1982-06-23,tal.netanyahu@gmail.com,054-2325893,Herzeliya
574997731,Sigal,,Turgeman,1989-05-03,sigal.turgeman@gmail.com,058-5548852,Eilat
847508242,Tamar,Leah,Grosman,1955-11-20,tamar.grosman@gmail.com,053-1851702,Eilat
342313086,Orly,Yosef, Dayan,1978-11-25,orly. dayan@teva.com,057-2686863,Haifa
105563528,Gadi,,Shapira,1965-11-09,gadi.shapira@walla.co.il,053-5819172,Herzeliya
406462391,Ronit,,Friedman,2000-07-04,ronit.friedman@teva.com,059-4896008,Eilat
893158610,Eden,,Biton,1992-10-29,eden.biton@walla.co.il,052-1609681,Rehovot
946066287,Nir,,Zamir,1982-07-25,nir.zamir@gmail.com,050-6006190,Nahariya
747233283,Ori,,Weiss,1950-12-31,ori.weiss@hotmail.com,058-9286475,Haifa
641394238,Stav,,Gabay,1998-06-05,stav.gabay@gmail.com,052-8699307,Petah-Tikva
871588919,Amit,,Levi,1937-08-04,amit.levi@gmail.com,059-4240708,Haifa
756007396,Orly,,Green,1962-04-22,orly.green@gmail.com,051-7724865,Beer-Sheva
298407302,Ariel,,Kramer,1986-04-12,ariel.kramer@gmail.com,054-7435310,Jerusalem
579678614,Coral,,Gabay,1981-06-11,coral.gabay@hotmail.com,059-1191859,Petah-Tikva
801887172,Inbal,,Tal,1948-08-15,inbal.tal@gmail.com,057-6147356,Haifa
535312769,Dorit,,Arad,1945-05-31,dorit.arad@checkpoints.com,054-2969909,Petah-Tikva
494647257,Avi,,Ben-David,1996-07-20,avi.ben-david@walla.co.il,052-8633275,Nahariya
501176618,Dor,,Yarkoni,1966-04-17,dor.yarkoni@checkpoints.com,058-4664338,Jerusalem
830511568,Coral,,Gal,2001-03-10,coral.gal@hotmail.com,057-9861274,Herzeliya
183862154,Ilan,Sarah,Omer,1963-03-09,ilan.omer@gmail.com,059-3514105,Haifa
452313624,Oren,Bat,Guttman,1944-03-20,oren.guttman@hotmail.com,057-2525747,Eilat
578333394,Shalom,Yosef,Blau,1967-07-21,shalom.blau@hotmail.com,050-8757420,Petah-Tikva
